Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728611290601,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,4.761904716491699,9.090909004211426,4.761904716491699,0,9.090909004211426,0,0,0,0,5,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.761904716491699,4.545454502105713,0,4.761904716491699,4.761904716491699,9.090909004211426,0,10,9.090909004211426,4.761904716491699,4.545454502105713,5,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,70394.76983642578,130148.39660644531,0,404335505408,8589930496,16121393152,0
999,1728611290601,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,4.761904716491699,9.090909004211426,4.761904716491699,0,9.090909004211426,0,0,0,0,5,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.761904716491699,4.545454502105713,0,4.761904716491699,4.761904716491699,9.090909004211426,0,10,9.090909004211426,4.761904716491699,4.545454502105713,5,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,70394.78204345703,130148.4189453125,0,404335505408,8589930496,16121987072,0
999,1728611291601,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,92.38095092773438,31.067960739135742,26.923078536987305,28.571430206298828,91.42857360839844,34.90565872192383,28.3018856048584,28.846153259277344,86.66666412353516,31.428571701049805,31.428571701049805,30.76923179626465,32.69230651855469,36.19047546386719,31.428571701049805,30.76923179626465,32.03883361816406,27.884614944458008,27.184465408325195,27.184465408325195,35.57692337036133,28.846153259277344,86.79244995117188,31.73076820373535,28.571430206298828,27.184465408325195,30.76923179626465,31.1320743560791,31.428571701049805,42.30769348144531,28.846153259277344,28.3018856048584,70413.52416992188,130186.6693725586,0,404335505408,8589930496,16327917568,0
999,1728611292601,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,100,1.0101009607315063,3,2.941176414489746,100,0,1.0101009607315063,1,0,0,0,0,0,0,1,2,14.141413688659668,0,0,0,0,0,100,0.9900990128517151,2.0202019214630127,0,0,0,0,86,2.97029709815979,2,70435.2562866211,130225.35363769531,0,404335505408,8589930496,16360251392,0
999,1728611293602,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,98,2,2,2,100,0,0,1,2.0202019214630127,1,0.9900990128517151,1,1,1.0101009607315063,1.0204081535339355,0,100,1.9801980257034302,1.0101009607315063,1.9801980257034302,2,0,100,0,0,1,1,0,0,0,0,2,70457.37005615234,130263.96875,0,404335505408,8589930496,16359247872,0
999,1728611294602,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,100,0,0,1.0101009607315063,100,0,0,0,0,0,1,0,0,0,0,1,100,0,1.9801980257034302,2,1,0,100,0,0.9900990128517151,0,0,1,0,0,0.9900990128517151,1.0204081535339355,70479.38397216797,130302.72357177734,0,404335505408,8589930496,16359743488,0
999,1728611295602,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,94,2.0202019214630127,0,1.0101009607315063,100,0,2.97029709815979,0,5.0505051612854,0,1,0,0,1.0101009607315063,0,0,100,0,0,0,0,0,100,1,1,0.9900990128517151,0,0,0,0,0,2,70501.26037597656,130341.52331542969,0,404335505408,8589930496,16359882752,0
999,1728611296602,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,96,1,2,2,100,0,1.0101009607315063,0,4.95049524307251,0.9900990128517151,1,0,1,0,0,1,100,1,0,0,1.0101009607315063,0,100,1.0101009607315063,1,1,0,1.0101009607315063,0.9900990128517151,0,1.9801980257034302,1.0101009607315063,70523.0062866211,130380.24774169922,0,404335505408,8589930496,16359960576,0
999,1728611297602,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,100,4,1,1.0101009607315063,100,0,0,0,0,0,1,2,0,0.9900990128517151,0,1,100,0,0,0,0,0,100,0,2,0,0,0,0,0,1.9801980257034302,0,70545.15264892578,130418.82354736328,0,404335505408,8589930496,16360448000,0
999,1728611298602,1292,1149,1258,1182,1232,1299,1284,1323,1249,1176,1440,1878,1400,1527,1258,1191,1221,1981,1106,1190,1180,1339,1871,1464,1207,1286,1565,1258,1169,1203,2031,1086,100,0,2.0202019214630127,3,97,0,1,0.9900990128517151,1,0,0,2,1,0,0,0,100,0,0,0,0.9900990128517151,4,100,1.9801980257034302,2,0,0.9900990128517151,1,0,0,2,1,70567.45532226563,130457.44036865234,0,404335505408,8589930496,16360169472,0
