Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728380467766,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,4.545454502105713,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,4.545454502105713,0,0,0,4.761904716491699,0,4.761904716491699,0,4.545454502105713,0,0,4.761904716491699,4.761904716491699,0,4.545454502105713,0,4.761904716491699,0,0,0,0,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,93509.66076660156,104912.31750488281,0,404335505408,8589930496,10159820800,0
999,1728380467767,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,4.545454502105713,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,4.545454502105713,0,0,0,4.761904716491699,0,4.761904716491699,0,4.545454502105713,0,0,4.761904716491699,4.761904716491699,0,4.545454502105713,0,4.761904716491699,0,0,0,0,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,93509.67193603516,104912.3408203125,0,404335505408,8589930496,10159935488,0
999,1728380468767,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,11.65048599243164,11.538461685180664,11.538461685180664,12.380952835083008,11.65048599243164,12.380952835083008,12.380952835083008,12.380952835083008,12.380952835083008,11.538461685180664,13.207547187805176,12.380952835083008,12.380952835083008,11.538461685180664,12.380952835083008,12.380952835083008,11.538461685180664,12.380952835083008,11.538461685180664,12.380952835083008,12.380952835083008,11.538461685180664,11.538461685180664,13.333333969116211,12.380952835083008,13.207547187805176,95.28302001953125,12.380952835083008,12.380952835083008,12.380952835083008,12.380952835083008,12.380952835083008,93528.54565429688,104945.03857421875,0,404335505408,8589930496,10219151360,0
1000,1728380469767,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,93549.6049194336,104978.04907226563,0,404335505408,8589930496,10223587328,0
999,1728380470767,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,1,0,100,0,0,0,0,0,93570.91357421875,105010.91271972656,0,404335505408,8589930496,10223771648,0
999,1728380471767,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,1.9801980257034302,4.95049524307251,1,0,1.9801980257034302,0,1,0,0.9900990128517151,0.9900990128517151,1,1.0101009607315063,0.9900990128517151,0,0,1,2.941176414489746,0,1,2.941176414489746,1.9801980257034302,0.9900990128517151,1.9801980257034302,0,1.9801980257034302,1,100,6.060606002807617,0.9900990128517151,0,1,1,93592.2103881836,105044.05334472656,0,404335505408,8589930496,10224041984,0
999,1728380472767,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,0,0,0,2,2,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,93613.37768554688,105076.99267578125,0,404335505408,8589930496,10225655808,0
999,1728380473768,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,0,0,0,1,1,2.941176414489746,1.0101009607315063,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,93634.4214477539,105110.04577636719,0,404335505408,8589930496,10226405376,0
999,1728380474768,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,93655.85083007813,105143.2183227539,0,404335505408,8589930496,10227294208,0
999,1728380475768,808,800,861,1833,800,845,800,800,800,800,800,800,799,800,800,799,799,800,1355,811,811,806,845,799,800,872,799,800,800,800,800,851,0,0,0,2,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,0,100,0,0,0,0,0,93677.14562988281,105176.24670410156,0,404335505408,8589930496,10229313536,0
