__run_id,__done,haddock_job,treatment,energy_usage,execution_time,memory_usage,cpu_usage
run_0_repetition_0,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_0,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_0,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_0,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_0,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_0,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_1,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_1,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_1,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_1,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_1,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_1,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_2,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_2,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_2,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_2,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_2,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_2,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_3,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_3,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_3,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_3,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_3,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_3,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_4,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_4,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_4,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_4,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_4,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_4,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_5,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_5,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_5,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_5,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_5,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_5,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_6,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_6,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_6,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_6,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_6,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_6,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_7,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_7,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_7,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_7,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_7,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_7,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_8,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_8,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_8,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_8,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_8,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_8,TODO,cyclise-peptide-full,parallel, , , , 
run_0_repetition_9,TODO,docking-protein-DNA-full,sequential, , , , 
run_1_repetition_9,TODO,docking-protein-DNA-full,parallel, , , , 
run_2_repetition_9,TODO,docking-protein-protein-full,sequential, , , , 
run_3_repetition_9,TODO,docking-protein-protein-full,parallel, , , , 
run_4_repetition_9,TODO,cyclise-peptide-full,sequential, , , , 
run_5_repetition_9,TODO,cyclise-peptide-full,parallel, , , , 
